destination	md5
kickstart/v1-2-r33-166/a1000/bad-dump/kickstart-v1-2-r33-166-1986-09-commodore-a1000-b.rom	d15adb59f896bc3f5a45244435ec3fd3
kickstart/v1-2-r33-166/a1000/good/kickstart-v1-2-r33-166-1986-09-commodore-a1000-good.rom	68c9c0826f6c0ca20546d588ee77391c
kickstart/v1-2-r33-180/a500-a1000-a2000/good/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-good.rom	85ad74194e87c08904327de1a9443b7a
kickstart/v1-2-r33-180/a500-a1000-a2000/hack-hqc/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-h-hqc.rom	0845c54dc849cfed7c85f9eb26a362fc
kickstart/v1-2-r33-180/a500-a1000-a2000/hack-level42/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-h-level42.rom	1d3141ddfe367c4c732e80f983771d9c
kickstart/v1-2-r33-180/a500-a1000-a2000/overdump-bad-dump/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o-b.rom	fa80e8c0d97f1d6a0446d394fb574633
kickstart/v1-2-r33-180/a500-a1000-a2000/overdump-encrypted-needs-rom-key/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o-encrypted-needs-rom-key.rom	ad033b1c30191199a450fbdbe0fde254
kickstart/v1-2-r33-180/a500-a1000-a2000/overdump/kickstart-v1-2-r33-180-1986-10-commodore-a500-a1000-a2000-o.rom	1a96ab3177d651a5dba7bfd4d46e4d8e
kickstart/v1-3-r34-005/a3000/encrypted-needs-rom-key/kickstart-v1-3-r34-005-1987-12-commodore-a3000-encrypted-needs-rom-key.rom	4cef8c4219263062b098defd8c6099a7
kickstart/v1-3-r34-005/a3000/good/kickstart-v1-3-r34-005-1987-12-commodore-a3000-good.rom	0cbbaacbabcb4b5806438039acc0ff02
kickstart/v1-3-r34-005/a3000/hack-2-unknown-hack/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h2-unknown-hack.rom	070393a7761dfccc5f08ebd4a727b631
kickstart/v1-3-r34-005/a3000/hack-dc-a/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-dc-a.rom	32be47465de79e3f40dd496814a86806
kickstart/v1-3-r34-005/a3000/hack-dc/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-dc.rom	9c2ae78a2a6c8cbcbc739401202def8a
kickstart/v1-3-r34-005/a3000/hack-galahad-relokick-v1-4a/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-galahad-relokick-v1-4a.rom	bc0f3993b4161e5632966c7fc38344eb
kickstart/v1-3-r34-005/a3000/hack-geesus-overdump-relokick-v1-41/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-geesus-o-relokick-v1-41.rom	28259ad3cfd905267005f79530954bee
kickstart/v1-3-r34-005/a3000/hack-geesus-relokick-v1-41/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-geesus-relokick-v1-41.rom	ab38c09234097cfbf4c9ee3adacf3e2a
kickstart/v1-3-r34-005/a3000/hack-unknown-hack/kickstart-v1-3-r34-005-1987-12-commodore-a3000-h-unknown-hack.rom	fa81cba159ae5ca992362d4ab1cfaccb
kickstart/v1-3-r34-005/a3000/overdump-encrypted-needs-rom-key/kickstart-v1-3-r34-005-1987-12-commodore-a3000-o-encrypted-needs-rom-key.rom	60fe0bbb94af93e0a405f492cce393f7
kickstart/v1-3-r34-005/a3000/overdump/kickstart-v1-3-r34-005-1987-12-commodore-a3000-o.rom	c20797cdaea7ceee6f3d5d092268aeaa
kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/good/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-good.rom	82a21c1890cae844b3df741f2762d48d
kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/hack-leonardo-fei-guardian-1-2r/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-h-leonardo-fei-guardian-1-2r.rom	3fde40288bd372599c4ec074522fc25c
kickstart/v1-3-r34-005/a500-a1000-a2000-cdtv/overdump/kickstart-v1-3-r34-005-1987-12-commodore-a500-a1000-a2000-cdtv-o.rom	192d6d950d0ed3df8040b788502831c2
kickstart/v2-0-r36-028/a3000/beta-good-superkickstart/kickstart-v2-0-r36-028-1990-03-commodore-a3000-beta-good-superkickstart.rom	f024da20387ea300c5e6f58bd082acd3
kickstart/v2-0-r36-141/a3000/beta-bad-dump/kickstart-v2-0-r36-141-1990-06-commodore-a3000-beta-b.rom	2e42a713edb668588f1b4e0744c889a1
kickstart/v2-0-r36-143/a3000/superkickstart/kickstart-v2-0-r36-143-1990-08-commodore-a3000-superkickstart.rom	9596b08c42677b0f01c9547c0da85d22
kickstart/v2-02-r36-207/a3000/good-superkickstart/kickstart-v2-02-r36-207-1990-10-commodore-a3000-good-superkickstart.rom	93e6657e563ddaf815fb40d93f860877
kickstart/v2-03-r37-074/common/beta-kickit/kickstart-v2-03-r37-074-1991-commodore-beta-kickit.rom	9e9ea32e0b543c547869967dc6a71219
kickstart/v2-03-r37-074/common/beta/kickstart-v2-03-r37-074-1991-commodore-beta.rom	0e14bc5208fe19fb389d5ceeed5b04da
kickstart/v2-03-r37-092/common/beta/kickstart-v2-03-r37-092-1991-04-commodore-beta.rom	796294c0256152047095fdced0538b0d
kickstart/v2-04-r37-175/a2000/developer-kickit/kickstart-v2-04-r37-175-1991-05-commodore-a2000-developer-kickit.rom	f8baa3adfc6c06b9fc1120c4059d3528
kickstart/v2-04-r37-175/a2000/developer/kickstart-v2-04-r37-175-1991-05-commodore-a2000-developer.rom	dcacad28df0d98ee0dbea5cb81082353
kickstart/v2-04-r37-175/a3000/standard/kickstart-v2-04-r37-175-1991-05-commodore-a3000.rom	c5fd2322c53d25c0972e6fc54b705d17
kickstart/v2-04-r37-175/a500plus/b-ftp-transfer/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-b-ftp-transfer.rom	5ab0527c168d02fecf897c0eda1d56f8
kickstart/v2-04-r37-175/a500plus/encrypted-needs-rom-key/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-encrypted-needs-rom-key.rom	f32949f64c4ce0bca6c7d082c7e148bb
