commit	score	status	description
314376a	1.000000	discard	discard run 2026-03-13T03-43-17-546Z-22 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-43-33-279Z-23 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-43-49-237Z-24 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-44-05-074Z-25 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-44-20-807Z-26 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-44-37-523Z-27 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-44-53-250Z-28 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-45-09-056Z-29 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-45-24-891Z-30 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-45-40-691Z-31 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-45-56-499Z-32 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-46-12-330Z-33 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-46-28-167Z-34 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-46-44-035Z-35 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-46-59-860Z-36 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-47-15-731Z-37 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-47-31-571Z-38 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-47-47-313Z-39 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-48-03-165Z-40 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-48-19-676Z-41 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-48-35-486Z-42 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-48-51-332Z-43 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-49-07-169Z-44 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-49-22-995Z-45 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-49-38-762Z-46 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-49-54-604Z-47 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-50-10-410Z-48 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-50-26-325Z-49 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-50-42-200Z-50 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-50-58-048Z-51 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-51-13-856Z-52 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-51-30-084Z-53 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-51-46-600Z-54 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-52-02-691Z-55 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-52-18-853Z-56 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-52-36-217Z-57 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-52-52-314Z-58 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-53-08-565Z-59 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-53-25-872Z-60 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-53-42-151Z-61 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
