source_rel	curated_rel	reason	has_entry	assemble_rc
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/resident.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/resident.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/semaphores.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/semaphores.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/strings.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/strings.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/tasks.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/tasks.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/exec/types.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/exec/types.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/clip.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/clip.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/copper.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/copper.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/display.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/display.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/gels.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/gels.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/gfx.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/gfx.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/gfxbase.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/gfxbase.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/graphics_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/graphics_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/layers.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/layers.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/layers_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/layers_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/rastport.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/rastport.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/text.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/text.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/graphics/view.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/graphics/view.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/adkbits.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/adkbits.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/blit.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/blit.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/cia.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/cia.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/custom.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/custom.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/dmabits.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/dmabits.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/hardware/intbits.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/hardware/intbits.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/intuition/intuition.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/intuition/intuition.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/intuition/intuition_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/intuition/intuition_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/intuition/intuitionbase.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/intuition/intuitionbase.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/intuition/preferences.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/intuition/preferences.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/intuition/screens.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/intuition/screens.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/clist_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/clist_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/configregs.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/configregs.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/diskfont.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/diskfont.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/diskfont_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/diskfont_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/dos.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/dos.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/dos_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/dos_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/dosextens.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/dosextens.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/expansion.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/expansion.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/expansion_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/expansion_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/expansionbase.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/expansionbase.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/filehandler.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/filehandler.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/romboot_base.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/romboot_base.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/romboot_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/romboot_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/translator.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/translator.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/libraries/translator_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/libraries/translator_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/math/mathffp_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/math/mathffp_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/math/mathieeedoubbas_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/math/mathieeedoubbas_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/math/mathieeedoubtrans_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/math/mathieeedoubtrans_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/math/mathtrans_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/math/mathtrans_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/cia.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/cia.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/cia_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/cia_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/disk.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/disk.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/filesysres.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/filesysres.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/misc.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/misc.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/potgo.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/potgo.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/resources/potgo_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/resources/potgo_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/workbench/icon.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/workbench/icon.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/workbench/icon_lib.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/workbench/icon_lib.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/Include/workbench/workbench.i	amiga_workspace/corpus/curated/Amiga-Assembler/Include/workbench/workbench.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/Amiga-Assembler/fileloader.asm	amiga_workspace/corpus/curated/Amiga-Assembler/fileloader.asm	no_entry_hint	0	
amiga_workspace/corpus/raw/Amiga-Assembler/fileloader.i	amiga_workspace/corpus/curated/Amiga-Assembler/fileloader.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/000.trackdisk/main.s	amiga_workspace/corpus/curated/amiga_examples/000.trackdisk/main.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/001.simple_image/image.s	amiga_workspace/corpus/curated/amiga_examples/001.simple_image/image.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/002.sprite_display/sprite.s	amiga_workspace/corpus/curated/amiga_examples/002.sprite_display/sprite.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/003.music/P6112-Options.i	amiga_workspace/corpus/curated/amiga_examples/003.music/P6112-Options.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/003.music/P6112-Play.i	amiga_workspace/corpus/curated/amiga_examples/003.music/P6112-Play.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/003.music/music.s	amiga_workspace/corpus/curated/amiga_examples/003.music/music.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/004.copper_bars/copper.s	amiga_workspace/corpus/curated/amiga_examples/004.copper_bars/copper.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/005.copper_vert/copper_vert.s	amiga_workspace/corpus/curated/amiga_examples/005.copper_vert/copper_vert.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/006.simple_blit/blit.s	amiga_workspace/corpus/curated/amiga_examples/006.simple_blit/blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/007.masked_blit/masked_blit.s	amiga_workspace/corpus/curated/amiga_examples/007.masked_blit/masked_blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/008.shift_blit/shift_blit.s	amiga_workspace/corpus/curated/amiga_examples/008.shift_blit/shift_blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/009.anim_blit/anim_blit.s	amiga_workspace/corpus/curated/amiga_examples/009.anim_blit/anim_blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/009.anim_blit/blit.s	amiga_workspace/corpus/curated/amiga_examples/009.anim_blit/blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/009.anim_blit/constants.i	amiga_workspace/corpus/curated/amiga_examples/009.anim_blit/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/009.anim_blit/init.s	amiga_workspace/corpus/curated/amiga_examples/009.anim_blit/init.s	no_entry_hint	0	
